id,description,lock_version,updated_at,created_at,unit_no
335,HYDROCRACKER UTIL,0,1/8/2009 0:00,1/8/2009 0:00,303
336,HYDROGEN PLT PRT,0,1/8/2009 0:00,1/8/2009 0:00,501
337,HYDROGEN SYSTEM,0,1/8/2009 0:00,1/8/2009 0:00,8622
338,IGF (INDUCED GAS FLOATATION),0,1/8/2009 0:00,1/8/2009 0:00,8716
339,IN-ACTIVE/#1 ALKY UNIT,0,1/8/2009 0:00,1/8/2009 0:00,4101
340,IN-ACTIVE/#1 STM PLT,0,1/8/2009 0:00,1/8/2009 0:00,8010
341,IN-ACTIVE/#2 ALKY UNIT,0,1/8/2009 0:00,1/8/2009 0:00,4201
342,IN-ACTIVE/#2 STM PLT,0,1/8/2009 0:00,1/8/2009 0:00,8020
343,IN-ACTIVE/#3 ALKY UNIT,0,1/8/2009 0:00,1/8/2009 0:00,4300
344,IN-ACTIVE/#5 STM PLT,0,1/8/2009 0:00,1/8/2009 0:00,8500
345,IN-ACTIVE/ACID STG UNIT 4000,0,1/8/2009 0:00,1/8/2009 0:00,4002
346,IN-ACTIVE/ALKY FRAC SEE 4000,0,1/8/2009 0:00,1/8/2009 0:00,4001
347,IN-ACTIVE/FCC-PRECIPITATOR,0,1/8/2009 0:00,1/8/2009 0:00,1102
348,IN-ACTIVE/NO. 14 LOADING RACK,0,1/8/2009 0:00,1/8/2009 0:00,7408
349,IN-ACTIVE/NO. 15 LOADING RACK,0,1/8/2009 0:00,1/8/2009 0:00,7409
350,IN-ACTIVE/NO. 22 LOADING RACK,0,1/8/2009 0:00,1/8/2009 0:00,7410
351,IN-ACTIVE/NO. 29 LOADING RACK,0,1/8/2009 0:00,1/8/2009 0:00,7415
352,IN-ACTIVE/NO. 30 LOADING RACK,0,1/8/2009 0:00,1/8/2009 0:00,7416
353,IN-ACTIVE/NO. 8 LOADING RACK,0,1/8/2009 0:00,1/8/2009 0:00,7403
354,INLINE BLENDER,0,1/8/2009 0:00,1/8/2009 0:00,7300
355,INSTRUMENT AIR SYSTEM,0,1/8/2009 0:00,1/8/2009 0:00,8608
356,MAIN OFFICE S/R,0,1/8/2009 0:00,1/8/2009 0:00,9976
357,MOBIL BOOSTER STA LN 88(MBS1),0,1/8/2009 0:00,1/8/2009 0:00, BS-2
358,MOBILE EQUIPMENT,0,1/8/2009 0:00,1/8/2009 0:00,149
359,N RES PUMP HOUSE SWITCH RM,0,1/8/2009 0:00,1/8/2009 0:00,9974
360,NAPHTHA BENSAT,0,1/8/2009 0:00,1/8/2009 0:00,8101
361,NAPHTHA HDS,0,1/8/2009 0:00,1/8/2009 0:00,8100
362,NAPHTHA ISOM,0,1/8/2009 0:00,1/8/2009 0:00,8102
363,NITROGEN SYSTEM,0,1/8/2009 0:00,1/8/2009 0:00,8628
364,NO. 1 POLYPROPYLENE,0,1/8/2009 0:00,1/8/2009 0:00,7100
365,NO. 9 LOADING RACK,0,1/8/2009 0:00,1/8/2009 0:00,7404
366,NO.10 LOADING RACK,0,1/8/2009 0:00,1/8/2009 0:00,7405
367,NO.12 LOADING RACK,0,1/8/2009 0:00,1/8/2009 0:00,7406
368,NO.13 LOADING RACK,0,1/8/2009 0:00,1/8/2009 0:00,7407
369,NO.26 LOADING RACK,0,1/8/2009 0:00,1/8/2009 0:00,7413
370,NO.28 LOADING RACK,0,1/8/2009 0:00,1/8/2009 0:00,7414
371,NORTH CAUSTIC STG AREA,0,1/8/2009 0:00,1/8/2009 0:00,904
372,OFFPLOT AREA 1,0,1/8/2009 0:00,1/8/2009 0:00,101
373,OFFPLOT AREA 10,0,1/8/2009 0:00,1/8/2009 0:00,110
374,OFFPLOT AREA 11,0,1/8/2009 0:00,1/8/2009 0:00,111
375,OFFPLOT AREA 12,0,1/8/2009 0:00,1/8/2009 0:00,112
376,OFFPLOT AREA 13,0,1/8/2009 0:00,1/8/2009 0:00,113
377,OFFPLOT AREA 14,0,1/8/2009 0:00,1/8/2009 0:00,114
378,OFFPLOT AREA 15,0,1/8/2009 0:00,1/8/2009 0:00,115
379,OFFPLOT AREA 16,0,1/8/2009 0:00,1/8/2009 0:00,116
380,OFFPLOT AREA 17,0,1/8/2009 0:00,1/8/2009 0:00,117
381,OFFPLOT AREA 18,0,1/8/2009 0:00,1/8/2009 0:00,118
382,OFFPLOT AREA 19,0,1/8/2009 0:00,1/8/2009 0:00,119
383,OFFPLOT AREA 2,0,1/8/2009 0:00,1/8/2009 0:00,102
384,OFFPLOT AREA 20,0,1/8/2009 0:00,1/8/2009 0:00,120
385,OFFPLOT AREA 21,0,1/8/2009 0:00,1/8/2009 0:00,121
386,OFFPLOT AREA 22,0,1/8/2009 0:00,1/8/2009 0:00,122
387,OFFPLOT AREA 23,0,1/8/2009 0:00,1/8/2009 0:00,123
388,OFFPLOT AREA 24,0,1/8/2009 0:00,1/8/2009 0:00,124
389,OFFPLOT AREA 3,0,1/8/2009 0:00,1/8/2009 0:00,103
390,OFFPLOT AREA 4,0,1/8/2009 0:00,1/8/2009 0:00,104
391,OFFPLOT AREA 5,0,1/8/2009 0:00,1/8/2009 0:00,105
392,OFFPLOT AREA 6,0,1/8/2009 0:00,1/8/2009 0:00,106
393,OFFPLOT AREA 7,0,1/8/2009 0:00,1/8/2009 0:00,107
394,OFFPLOT AREA 8,0,1/8/2009 0:00,1/8/2009 0:00,108
395,OFFPLOT AREA 9,0,1/8/2009 0:00,1/8/2009 0:00,109
396,OIL (LUBE/MIST/BULK) SYSTEM,0,1/8/2009 0:00,1/8/2009 0:00,8626
397,OIL RECOVERY SYSTEM,0,1/8/2009 0:00,1/8/2009 0:00,8612
398,OILY WATER STRIPPER-NESHAPS,0,1/8/2009 0:00,1/8/2009 0:00,3500
399,PARKING LOT,0,1/8/2009 0:00,1/8/2009 0:00,138
